reporting_date,report_week,case_count_weekly_change
2022/01/17 18:00:00+00,01/11/2022 - 01/17/2022,42983
2022/01/24 18:00:00+00,1/18/2022 - 1/24/2022,38783
2021/12/27 18:00:00+00,12/21/2021 - 12/27/2021,4206
2022/01/31 18:00:00+00,1/25/2022 - 1/31/2022,29293
2022/02/07 18:00:00+00,2/1/2022 - 2/7/2022,12330
2022/02/14 18:00:00+00,2/8/2022 - 2/14/2022,5368
2022/02/21 18:00:00+00,2/15/2022 - 2/21/2022,2697
2022/02/28 18:00:00+00,2/22/2022 - 2/28/2022,1464
2022/03/07 18:00:00+00,3/2/2022 - 3/8/2022,932
2022/03/14 17:00:00+00,03/08/2022 - 03/14/2022,561
2022/03/21 17:00:00+00,3/15/2022 - 3/21/2022,397
2022/03/28 17:00:00+00,3/22/2022 - 3/28/2022,520
2022/04/04 17:00:00+00,03/29/2022 - 04/04/2022,489
2022/04/11 17:00:00+00,04/05/2022 - 04/11/2022,481
2022/04/18 17:00:00+00,04/12/2022 - 4/18/2022,732
2022/04/25 17:00:00+00,04/19/2022 - 04/25/2022,803
2022/05/02 17:00:00+00,04/26/2022 - 05/02/2022,892
2022/05/09 17:00:00+00,05/03/2022 - 05/09/2022,1212
2022/05/16 17:00:00+00,05/10/2022 - 05/16/2022,1524
2022/05/23 17:00:00+00,05/17/2022 - 05/23/2022,2461
2022/05/30 17:00:00+00,05/24/2022 - 05/30/2022,2945
2022/06/06 17:00:00+00,05/31/2022 - 06/06/2022,3598
2022/06/13 17:00:00+00,06/07/2022 - 06/13/2022,4016
2022/06/20 17:00:00+00,06/14/2022 - 06/20/2022,4671
2022/06/27 17:00:00+00,06/21/2022 - 06/27/2022,5870
2022/07/04 17:00:00+00,06/28/2022 - 07/04/2022,6645
2022/07/11 17:00:00+00,7/5/2022 - 7/11/2022,6882
2022/07/18 17:00:00+00,7/12/2022 - 7/18/2022,6984
2022/07/25 17:00:00+00,7/19/2022 - 7/25/2022,6631
2022/08/01 17:00:00+00,7/26/2022 - 8/1/2022,6258
2022/08/08 17:00:00+00,08/02/2022 - 08/08/2022,5008
2022/08/15 17:00:00+00,8/9/2022 - 8/15/2022,5764
2022/08/22 17:00:00+00,8/16/2022 - 8/22/2022,4633
2022/08/29 17:00:00+00,8/23/2022 - 8/29/2022,5022
2022/09/05 17:00:00+00,8/30/2022 - 9/5/2022,4740
2022/09/12 17:00:00+00,9/6/2022 - 9/12/2022,3521
2022/09/19 17:00:00+00,09/13/22 - 09/19/22,2486
2022/09/26 17:00:00+00,9/20/2022 - 9/26/2022,1691
2022/10/03 17:00:00+00,09/27/2022 - 10/03/2022,1227
2022/10/10 17:00:00+00,10/04/2022 - 10/10/2022,888
2022/10/17 17:00:00+00,10/11/2022 - 10/17/2022,917
2022/10/24 17:00:00+00,10/18/2022 - 10/24/2022,735
2022/10/31 17:00:00+00,10/25/2022 - 10/31/2022,683
2022/11/07 18:00:00+00,10/1/2022 - 10/7/2022,710
2022/11/14 18:00:00+00,11/08/2022 - 11/14/2022,1018
2022/11/21 18:00:00+00,11/15/2022 - 11/21/2022,1296
2022/11/28 18:00:00+00,11/22/2022 - 11/28/2022,1397
2022/12/05 18:00:00+00,11/29/2022 - 12/05/2022,2438
2022/12/12 18:00:00+00,12/06/2022 - 12/12/2022,2809
2022/12/19 18:00:00+00,12/13/2022 - 12/19/2022,2275
2022/12/26 18:00:00+00,12/20/2022 - 12/26/2022,2542
2023/01/02 18:00:00+00,12/27/2022 - 1/02/2023,3125
2023/01/09 18:00:00+00,01/03/2023 - 01/09/2023,2497
2023/01/16 18:00:00+00,01/10/2023 - 01/16/2023,2841
2023/01/23 18:00:00+00,1/17/2023 - 1/23/2023,1378
2023/01/30 18:00:00+00,1/24/2023 - 1/30/2023,1339
2023/02/06 18:00:00+00,01/31/2023 - 02/06/2023,1533
2023/02/13 18:00:00+00,02/07/2023 - 02/13/2023,1725
2023/02/20 18:00:00+00,02/14/2023 - 02/20/2023,919
2023/02/27 18:00:00+00,02/21/2023 - 02/27/2023,1240
2023/03/06 18:00:00+00,02/28/2023 - 03/06/2023,1065
2023/03/13 17:00:00+00,03/07/2023 - 03/13/2023,1002
2023/03/20 17:00:00+00,03/14/2023 - 03/20/2023,596
2023/03/27 17:00:00+00,03/21/2023 - 03/27/2023,791
2023/04/03 17:00:00+00,03/28/2023 - 04/03/2023,853
2023/04/10 17:00:00+00,04/04/2023 - 04/10/2023,670
2023/04/17 17:00:00+00,4/11/2023 - 4/17/2023,924
2023/04/24 17:00:00+00,04/18/2023 - 04/24/2023,669
2023/05/01 17:00:00+00,04/25/2023-05/1/2023,556
2023/05/08 17:00:00+00,5/2/2023 - 5/8/2023 ,587
2023/05/15 17:00:00+00,05/9/2023 - 05/15/2023,362
2023/05/23 17:00:00+00,05/16/2023 - 05/22/2023,474
2023/05/30 17:00:00+00,5/23/2023 - 5/29/2023,271
2023/06/06 17:00:00+00,05/30/2023-06/05/2023,365
2023/06/13 17:00:00+00,06/06/2023 - 06/12/2023,343
2023/06/20 17:00:00+00,6/13/2023-6/18/2023,256
2023/06/27 17:00:00+00,06/20/2023-06/26/2023,348
2023/07/05 17:00:00+00,06/27/2023 - 07/03/2023,331
2023/07/11 17:00:00+00,07/04/2023 - 07/10/2023,452
2023/07/18 17:00:00+00,7/11/2023 - 7/17/2023,509
2023/07/25 17:00:00+00,7/18/2023 - 7/24/2023,727
2023/08/01 17:00:00+00,7/26/2023 - 8/1/2023,916
2023/08/08 17:00:00+00,8/1/2023 - 8/7/2023 ,1227
2023/08/15 17:00:00+00,08/08/2023 - 08/14/2023,1612
2023/08/22 17:00:00+00,08/15/2023 - 08/21/2023,1965
2023/08/29 17:00:00+00,8/22/2023 - 8/28/2023,2682
2023/09/05 17:00:00+00,8/29/2023 - 9/4/2023,2656
2023/09/12 17:00:00+00,9/5/2023 - 9/11/2023,2045
2023/09/19 17:00:00+00,09/12/2023 - 09/18/2023,2629
2023/09/26 17:00:00+00,9/20/2023 - 9/26/2023,1114
2023/10/03 17:00:00+00,9/27/2023 - 10/3/2023,858
2023/10/10 17:00:00+00,10/4/2023 - 10/10/2023,616
2023/10/17 17:00:00+00,10/11/2023 - 10/17/2023,646
2023/10/24 17:00:00+00,10/18/2023 - 10/24/2023,471
2023/10/31 17:00:00+00,10/25/2023 - 10/31/2023,672
2023/11/07 18:00:00+00,11/1/2023 - 11/7/2023,752
2023/11/14 18:00:00+00,11/8/2023 - 11/14/2023,641
2023/11/21 18:00:00+00,11/15/2023 - 11/21/2023,476
2023/11/28 18:00:00+00,11/22/2023 - 11/28/2023,619
2023/12/05 18:00:00+00,11/29/2023 - 12/5/2023,649
2023/12/12 18:00:00+00,12/6/2023 - 12/12/023,1043
2023/12/19 18:00:00+00,12/13/2023 - 12/19/2023,938
2024/01/02 18:00:00+00,12/27/2023 - 1/2/2024,966
2024/01/09 18:00:00+00,1/3/2024 - 1/9/2024,1543
2024/01/16 18:00:00+00,1/10/2024 - 1/16/2024,1186
2024/01/23 18:00:00+00,01/17/2024 - 01/23/2024,1359
2024/01/30 18:00:00+00,1/24/2024 - 1/30/2024,2335
2024/02/06 18:00:00+00,1/31/2024 - 2/6/2024,2193
2024/02/13 18:00:00+00,2/7/2024 - 2/13/2024,1621
2024/02/20 18:00:00+00,2/14/2024 - 2/20/2024,1207
